No,negative_sequence,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
1,1.25168812072642e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
1,1.25168812072642e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
1,1.2531048913358e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
1,1.2531048913358e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
1,1.25310530954159e-05,133125.267581426,133123.962600317,133124.074899675,0.711759576795129,0.711752846856223,0.711839856720179,7987.49413232894,7987.4874615569,7987.41616561402,0.000209707751928995,0.000209709891243065,0.00020970812914175,120.000535923973,-120.000705076846,29.9993521219525,150.000591811884,-90.0001130274692,0
1,1.25310530955215e-05,133125,133124,133124,0.7,0.7,0.7,7987,7987,7987,0,0,0,120,-120,30,150,-90,0
1,1.25310530955215e-05,133125.267581426,133123.962600317,133124.074899675,0.711759576795161,0.711752846856342,0.71183985672003,7987.49413232894,7987.48746155691,7987.41616561402,0.000209707751928995,0.000209709891243065,0.000209708129141749,120.000535923973,-120.000705076846,29.9993521219524,150.000591811884,-90.0001130274692,0
1,1.25310833828807e-05,133125.267978303,133123.962997134,133124.075296506,0.711750681640384,0.711743952163599,0.711830961332995,7987.49416575465,7987.48749789708,7987.41619743997,5.93139923968197e-05,5.93146376358247e-05,5.9314273344768e-05,120.000535923959,-120.000705076868,29.9993520410066,150.000591711452,-90.0001131384422,0
1,2.78883833201084e-05,133104,133107,133102,1.1,1.1,1.2,13832,13832,13831,7.5,6.6,7.5,120,-120,0,120.01,-119.99,0
1,2.78883833201084e-05,133104,133107,133102,1.1,1.1,1.2,13832,13832,13831,7.5,6.6,7.5,120,-120,0,120.01,-119.99,0
2,0.00040906192661967,133031.623533463,133093.502873335,133132.070392745,0.000160862742532951,1.23191774858234,1.23266982159733,7985.95539873757,7982.0210238845,7987.45471241226,5.93028309953447e-05,5.92743837583509e-05,5.93139409151907e-05,119.956488042065,-120.026568889493,29.9992449254886,149.970668430782,-90.0400060924586,1
2,0.00040906698407745,133031.622200075,133093.5020769,133132.070160276,0.000160864743791757,1.23193313395388,1.23268522541486,7985.95535991083,7982.02092292098,7987.45468076094,0.000209668372831851,0.000209567159334655,0.000209707283669575,119.956487441307,-120.026569314802,29.9992449280074,149.970668168782,-90.0400065605592,1
