No,negative_sequence,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
1,1.25168812072642e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
2,0.000409281666876169,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
3,1.25426118924849e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
4,0.000409246721864873,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
5,1.25432615023432e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
6,0.000409211067172243,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
7,1.25921969944854e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
8,0.000409227527064861,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
9,1.26179677951955e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
10,0.000409120377514734,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
11,1.26650937710297e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
12,0.000409126264085812,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
13,1.26265618578352e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
14,0.00040912753975153,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
15,1.26496069011755e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
16,0.000409125050740319,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
17,1.25949540937012e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
18,0.000409115702261074,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
19,1.26699059397914e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
20,0.00040911716537361,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
21,1.26043392207417e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
22,0.000409371175515237,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
23,1.2583631151606e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
24,0.000409366349574164,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
25,1.28309511709368e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
26,0.000409223654856993,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
27,1.28208847232338e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
28,0.000409176098936702,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
29,1.31950841337632e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
30,0.000409018332276502,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
31,1.32120055267954e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
32,0.000408980621980708,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
33,1.3292557428122e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
34,0.000408933782022693,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
35,1.34875898057834e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
36,0.000408819619052821,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
37,1.35827518853795e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
38,0.00040882437969123,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
39,1.34039439383467e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
40,0.000408839263675152,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
41,1.25836005170475e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
42,0.000409524952773164,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
43,1.26333541525868e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
44,0.000409436264905936,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
45,1.29508223944719e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
46,0.00040930483787226,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
47,1.30156888380955e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
48,0.000409359336881446,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
49,1.43024266362182e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0.1,120,-120,0,120,-120,0
50,0.000408714288860782,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
51,1.47010583891734e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0.1,120,-120,0,120,-120,0
52,0.000408597523671805,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
53,1.60684821609631e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0.1,120,-120,0,120,-120,0
54,0.00040801118831674,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
55,1.62451531021449e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0.1,120,-120,0,120,-120,0
56,0.000408024707479806,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
57,1.61264494042894e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0.1,120,-120,0,120,-120,0
58,0.000407955925217916,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
