No,negative_sequence,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
1,2.78883833201084e-05,133104,133107,133102,1.1,1.1,1.2,13832,13832,13831,7.5,6.6,7.5,120,-120,0,120.01,-119.99,0
2,0.000631022106728095,132959,133058,133115,0,1.9,2,13819,13824,13834,7.5,6.5,7.5,119.93,-120.04,-0.01,119.93,-120.02,1
3,2.48702203437038e-05,133109,133106,133106,1.1,1.1,1.1,13832,13832,13832,5.9,6.2,6.4,120,-120,0,120.01,-120,0
4,0.000596753829992654,132977,133060,133120,0,1.9,1.8,13821,13824,13835,5.9,6.1,6.4,119.93,-120.04,-0.01,119.94,-120.03,1
5,0.000124859997564399,133100,133106,133086,1.2,1.3,1.4,13831,13832,13829,9.8,7.6,11.9,120.01,-119.99,0,120.02,-119.99,0
6,0.000565761268024837,132948,133057,133098,0,2,2.2,13818,13823,13831,9.8,7.6,11.9,119.94,-120.04,-0.01,119.94,-120.01,1
7,9.52211504609891e-05,133105,133099,133090,1.2,1.3,1.3,13832,13831,13830,8.2,8.9,11,120.01,-120,0.01,120.01,-119.99,0
8,0.000578854055655566,132964,133049,133106,0,2.1,2.1,13820,13822,13833,8.2,8.9,11,119.93,-120.05,-0.01,119.94,-120.03,1
9,0.000182197633638904,133105,133102,133078,1.1,1.4,1.5,13832,13831,13828,9.4,9,14,120.01,-120,0,120.02,-119.99,0
10,0.000469690890915892,132963,133053,133092,0,2.1,2.2,13820,13823,13830,9.4,9,14,119.94,-120.04,-0.01,119.95,-120.02,1
11,0.000166580395285583,133112,133096,133085,1.1,1.4,1.3,13833,13831,13829,6.9,9.7,12.3,120.01,-120,0,120.02,-120,0
12,0.000491398215097837,132987,133048,133103,0,2.2,1.9,13822,13822,13832,6.9,9.7,12.3,119.94,-120.05,-0.01,119.94,-120.03,1
13,0.000184165664183418,133105,133100,133077,1.1,1.5,1.5,13832,13831,13828,9.6,9.5,14.4,120.01,-120,0,120.02,-119.99,0
14,0.000476699300803234,132963,133051,133091,0,2.2,2.2,13820,13822,13830,9.6,9.5,14.4,119.94,-120.04,-0.01,119.95,-120.02,1
15,0.000162653317487678,133110,133098,133084,1.1,1.4,1.3,13833,13831,13829,7.4,9.3,12.5,120.01,-120,0,120.02,-119.99,0
