No,vuf,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
1,1.25364857753743e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
1,1.42158660946849e-05,133103,133103,133101,1.2,1.2,1.2,13831,13832,13831,8,7.5,8,120,-120,0,120.01,-119.99,0
2,0.000409286390023796,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
2,0.000663178450258207,132955,133053,133116,0,2,2.1,13819,13823,13834,8,7.5,8,119.93,-120.04,-0.01,119.93,-120.02,1
3,1.25206795806926e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
3,1.85350056267404e-05,133105,133103,133103,1.1,1.2,1.1,13832,13832,13832,7.2,7.3,7.4,120,-120,0,120.01,-120,0
4,0.000409325069608015,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
4,0.000644854754782256,132964,133054,133118,0,2,2,13820,13823,13834,7.2,7.3,7.4,119.93,-120.05,-0.01,119.93,-120.03,1
5,0.000125494460044121,133101,133102,133083,1.2,1.4,1.4,13831,13831,13829,9.9,8.8,12.7,120.01,-120,0,120.02,-119.99,0
5,1.25779378707606e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
6,0.000409216629838037,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
6,0.00056495873626078,132950,133051,133098,0,2.1,2.3,13818,13822,13831,9.9,8.8,12.7,119.94,-120.04,-0.01,119.94,-120.02,1
7,0.000114503593500675,133103,133098,133085,1.2,1.4,1.4,13832,13831,13829,9.1,9.4,12.3,120.01,-120,0.01,120.02,-119.99,0
7,1.25896720330274e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
8,0.000409199523134347,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
8,0.000572184215877954,132958,133047,133102,0,2.2,2.2,13819,13822,13832,9.1,9.4,12.3,119.93,-120.05,-0.01,119.94,-120.02,1
9,0.000188715418328966,133103,133099,133075,1.2,1.5,1.5,13832,13831,13827,10.1,9.9,15.1,120.01,-120,0,120.02,-119.99,0
9,1.26057400949799e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
10,0.00040913071805989,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
10,0.000487649294356892,132957,133048,133090,0,2.2,2.3,13819,13822,13830,10.1,9.9,15.1,119.94,-120.04,-0.01,119.95,-120.02,1
11,0.00017660282478813,133107,133096,133078,1.2,1.5,1.4,13832,13831,13828,8.9,10.3,14.2,120.01,-120,0.01,120.02,-119.99,0
11,1.26074074573053e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
12,0.000409143986785086,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
12,0.00049503366105205,132969,133046,133095,0,2.2,2.2,13820,13822,13831,8.9,10.3,14.2,119.94,-120.05,-0.01,119.94,-120.03,1
13,0.000197289188558252,133103,133098,133073,1.2,1.5,1.6,13832,13831,13827,10.3,10.3,15.6,120.01,-120,0,120.02,-119.99,0
13,1.26290898147605e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
14,0.000409146567891101,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
14,0.000483790653963477,132957,133047,133088,0,2.2,2.3,13819,13822,13830,10.3,10.3,15.6,119.94,-120.04,-0.01,119.95,-120.02,1
15,0.000184342123257666,133106,133097,133077,1.2,1.5,1.5,13832,13831,13828,9.3,10.2,14.6,120.01,-120,0.01,120.02,-119.99,0
15,1.26246992058726e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
16,0.000409121908914118,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
16,0.000484763077351875,132967,133047,133093,0,2.2,2.2,13820,13822,13831,9.3,10.2,14.6,119.94,-120.04,-0.01,119.95,-120.02,1
17,0.000165651338626419,133107,133101,133081,1.1,1.4,1.4,13832,13831,13828,8.7,8.8,13.1,120.01,-120,0,120.02,-119.99,0
